,Representative Name,Last Name,State,Committee,Role
669,Klobuchar,,,"Agriculture, Nutrition, and Forestry",
670,Klobuchar,,,"Commerce, Science, and Transportation",
671,Klobuchar,,,Judiciary,
672,Klobuchar,,,Rules and Administration,
673,Klobuchar,,,Joint Committee on the Library,
674,Klobuchar,,,Joint Committee on Printing,
675,Klobuchar,,,Joint Economic Committee,
676,Lankford,,,Appropriations,
677,Lankford,,,Homeland Security and Governmental Affairs,
678,Lankford,,,Indian Affairs,
679,Lankford,,,Select Committee on Intelligence,
680,Leahy,,,"Agriculture, Nutrition, and Forestry",
681,Leahy,,,Appropriations,
682,Leahy,,,Judiciary,
683,Leahy,,,Rules and Administration,
684,Leahy,,,Joint Committee on the Library,
685,Lee,,,Joint Economic Committee,vice chair
686,Lee,,,"Commerce, Science, and Transportation",
687,Lee,,,Energy and Natural Resources,
688,Lee,,,Judiciary,
689,Manchin,,,Appropriations,
690,Manchin,,,Energy and Natural Resources,
691,Manchin,,,Veterans' Affairs,
692,Manchin,,,Select Committee on Intelligence,
693,Markey,,,"Commerce, Science, and Transportation",
694,Markey,,,Environment and Public Works,
695,Markey,,,Foreign Relations,
696,Markey,,,Small Business and Entrepreneurship,
697,McCain,,,"Armed Services, chair",vice chair
698,McCain,,,Homeland Security and Governmental Affairs,
699,McCain,,,Indian Affairs,
700,McCain,,,Select Committee on Intelligence,
701,McCaskill,,,Armed Services,vice chair
702,McCaskill,,,Finance,
703,McCaskill,,,Homeland Security and Governmental Affairs,
704,McConnell,,,"Agriculture, Nutrition, and Forestry",
705,McConnell,,,Appropriations,
706,McConnell,,,Rules and Administration,
707,McConnell,,,Select Committee on Intelligence,
708,Menendez,,,"Banking, Housing, and Urban Affairs",
709,Menendez,,,Finance,
710,Menendez,,,Foreign Relations,
711,Merkley,,,Appropriations,
712,Merkley,,,Budget,
713,Merkley,,,Environment and Public Works,
714,Merkley,,,Foreign Relations,
715,Moran,,,Appropriations,
716,Moran,,,"Banking, Housing, and Urban Affairs",
717,Moran,,,"Commerce, Science, and Transportation",
718,Moran,,,Environment and Public Works,
719,Moran,,,Indian Affairs,
720,Moran,,,Veterans' Affairs,
721,Murkowski,,,Energy and Natural Resources,chair
722,Murkowski,,,Appropriations,
723,Murkowski,,,"Health, Education, Labor, and Pensions",
724,Murkowski,,,Indian Affairs,
725,Murphy,,,Appropriations,
726,Murphy,,,Foreign Relations,
727,Murphy,,,"Health, Education, Labor, and Pensions",
728,Murray,,,Appropriations,
729,Murray,,,Budget,
730,Murray,,,"Health, Education, Labor, and Pensions",
731,Murray,,,Veterans' Affairs,
732,Nelson,,,Armed Services,vice chair
733,Nelson,,,"Commerce, Science, and Transportation",
734,Nelson,,,Finance,
735,Nelson,,,Special Committee on Aging,
736,Paul,,,Foreign Relations,
737,Paul,,,"Health, Education, Labor, and Pensions",
738,Paul,,,Homeland Security and Governmental Affairs,
739,Paul,,,Small Business and Entrepreneurship,
740,Perdue,,,"Agriculture, Nutrition, and Forestry",
741,Perdue,,,Armed Services,vice chair
742,Perdue,,,"Banking, Housing, and Urban Affairs",
743,Perdue,,,Budget,
744,Peters,,,Armed Services,vice chair
745,Peters,,,"Commerce, Science, and Transportation",
746,Peters,,,Homeland Security and Governmental Affairs,
747,Peters,,,Joint Economic Committee,
748,Portman,,,Energy and Natural Resources,
749,Portman,,,Finance,
750,Portman,,,Foreign Relations,
751,Portman,,,Homeland Security and Governmental Affairs,
752,Portman,,,Joint Economic Committee,
753,Reed,,,Appropriations,
754,Reed,,,Armed Services,vice chair
755,Reed,,,"Banking, Housing, and Urban Affairs",
756,Reed,,,Select Committee on Intelligence,
757,Risch,,,Small Business and Entrepreneurship,chair
758,Risch,,,Energy and Natural Resources,
759,Risch,,,Foreign Relations,
760,Risch,,,Select Committee on Ethics,
761,Risch,,,Select Committee on Intelligence,
762,Roberts,,,"Agriculture, Nutrition, and Forestry",chair
763,Roberts,,,Finance,
764,Roberts,,,"Health, Education, Labor, and Pensions",
765,Roberts,,,Rules and Administration,
766,Roberts,,,Joint Committee on the Library,
767,Roberts,,,Joint Committee on Printing,
768,Roberts,,,Select Committee on Ethics,
769,Rounds,,,Armed Services,vice chair
770,Rounds,,,"Banking, Housing, and Urban Affairs",
771,Rounds,,,Environment and Public Works,
772,Rounds,,,Small Business and Entrepreneurship,
773,Rounds,,,Veterans' Affairs,
774,Rubio,,,Appropriations,
775,Rubio,,,Foreign Relations,
776,Rubio,,,Small Business and Entrepreneurship,
777,Rubio,,,Select Committee on Intelligence,
778,Rubio,,,Special Committee on Aging,
779,Sanders,,,Budget,
780,Sanders,,,Energy and Natural Resources,
781,Sanders,,,Environment and Public Works,
782,Sanders,,,"Health, Education, Labor, and Pensions",
783,Sanders,,,Veterans' Affairs,
784,Sasse,,,Armed Services,vice chair
785,Sasse,,,"Banking, Housing, and Urban Affairs",
786,Sasse,,,Judiciary,
787,Sasse,,,Joint Economic Committee,
788,Schatz,,,Appropriations,
789,Schatz,,,"Banking, Housing, and Urban Affairs",
790,Schatz,,,"Commerce, Science, and Transportation",
791,Schatz,,,Indian Affairs,
792,Schatz,,,Select Committee on Ethics,
793,Schumer,,,Rules and Administration,
794,Schumer,,,Select Committee on Intelligence,
795,Scott,,,Armed Services,vice chair
796,Scott,,,"Banking, Housing, and Urban Affairs",
797,Scott,,,Finance,
798,Scott,,,"Health, Education, Labor, and Pensions",
799,Scott,,,Small Business and Entrepreneurship,
800,Scott,,,Special Committee on Aging,
801,Shaheen,,,Appropriations,
802,Shaheen,,,Armed Services,vice chair
803,Shaheen,,,Foreign Relations,
804,Shaheen,,,Small Business and Entrepreneurship,
805,Shaheen,,,Select Committee on Ethics,
806,Shelby,,,Appropriations,chair
807,Shelby,,,"Banking, Housing, and Urban Affairs",
808,Shelby,,,Environment and Public Works,
809,Shelby,,,Rules and Administration,
810,Shelby,,,Joint Committee on the Library,
811,Smith,,,"Agriculture, Nutrition, and Forestry",
812,Smith,,,Energy and Natural Resources,
813,Smith,,,"Health, Education, Labor, and Pensions",
814,Smith,,,Indian Affairs,
815,Stabenow,,,"Agriculture, Nutrition, and Forestry",
816,Stabenow,,,Budget,
817,Stabenow,,,Energy and Natural Resources,
818,Stabenow,,,Finance,
819,Stabenow,,,Joint Committee on Taxation,
820,Sullivan,,,Armed Services,vice chair
821,Sullivan,,,"Commerce, Science, and Transportation",
822,Sullivan,,,Environment and Public Works,
823,Sullivan,,,Veterans' Affairs,
824,Tester,,,Appropriations,
825,Tester,,,"Banking, Housing, and Urban Affairs",
826,Tester,,,"Commerce, Science, and Transportation",
827,Tester,,,Indian Affairs,
828,Tester,,,Veterans' Affairs,
829,Thune,,,"Commerce, Science, and Transportation",chair
830,Thune,,,"Agriculture, Nutrition, and Forestry",
831,Thune,,,Finance,
832,Tillis,,,Armed Services,vice chair
833,Tillis,,,"Banking, Housing, and Urban Affairs",
834,Tillis,,,Judiciary,
835,Tillis,,,Veterans' Affairs,
836,Tillis,,,Special Committee on Aging,
837,Toomey,,,"Banking, Housing, and Urban Affairs",
838,Toomey,,,Budget,
839,Toomey,,,Finance,
840,Udall,,,Appropriations,
841,Udall,,,"Commerce, Science, and Transportation",
842,Udall,,,Foreign Relations,
843,Udall,,,Indian Affairs,
844,Udall,,,Rules and Administration,
845,Udall,,,Joint Committee on Printing,
846,Van Hollen,,,Appropriations,
847,Van Hollen,,,"Banking, Housing, and Urban Affairs",
848,Van Hollen,,,Budget,
849,Van Hollen,,,Environment and Public Works,
850,Warner,,,"Banking, Housing, and Urban Affairs",
851,Warner,,,Budget,
852,Warner,,,Finance,
853,Warner,,,Rules and Administration,
854,Warner,,,Select Committee on Intelligence,
855,Warren,,,Armed Services,vice chair
856,Warren,,,"Banking, Housing, and Urban Affairs",
857,Warren,,,"Health, Education, Labor, and Pensions",
858,Warren,,,Special Committee on Aging,
859,Whitehouse,,,Budget,
860,Whitehouse,,,Environment and Public Works,
861,Whitehouse,,,Finance,
862,Whitehouse,,,Judiciary,
863,Wicker,,,Armed Services,vice chair
864,Wicker,,,"Commerce, Science, and Transportation",
865,Wicker,,,Environment and Public Works,
866,Wicker,,,Rules and Administration,
867,Wicker,,,Joint Committee on Printing,
868,Wyden,,,Budget,
869,Wyden,,,Energy and Natural Resources,
870,Wyden,,,Finance,
871,Wyden,,,Joint Committee on Taxation,
872,Wyden,,,Select Committee on Intelligence,
873,Young,,,"Commerce, Science, and Transportation",
874,Young,,,Foreign Relations,
875,Young,,,"Health, Education, Labor, and Pensions",
876,Young,,,Small Business and Entrepreneurship,
877,Young,,,Abraham,
878,Adams,,,Agriculture,
879,Adams,,,Education and the Workforce,
880,Adams,,,Small Business,
881,Adams,,,Joint Economic Committee,
882,Aderholt,,,Appropriations,
883,Aguilar,,,Appropriations,
884,Allen,,,Agriculture,
885,Allen,,,Education and the Workforce,
886,Amash,,,Oversight and Government Reform,
887,Amodei,,,Appropriations,
888,Arrington,,,Agriculture,
889,Arrington,,,Budget,
890,Arrington,,,Veterans' Affairs,
891,Babin,,,"Science, Space, and Technology",
892,Babin,,,Transportation and Infrastructure,
893,Bacon,,,Agriculture,
894,Bacon,,,Armed Services,vice chair
895,Bacon,,,Homeland Security,
896,Banks,Jim,Indiana,Armed Services,vice chair
897,Banks,Jim,Indiana,Education and the Workforce Veterans' Affairs,
898,Barletta,,,Education and the Workforce,
899,Barletta,,,Homeland Security,
900,Barletta,,,Transportation and Infrastructure,
901,Barr,,,Financial Services,vice chair
902,Barragan,,,Homeland Security,
903,Barragan,,,Natural Resources,
904,Barton,,,Energy and Commerce,vice chair
905,Bass,,,Foreign Affairs,
906,Bass,,,Judiciary,
907,Beatty,,,Financial Services,vice chair
908,Bera ,,,Foreign Affairs,
909,Bera ,,,"Science, Space, and Technology",
910,Bergman,,,Budget,
911,Bergman,,,Natural Resources,
912,Bergman,,,Veterans' Affairs,
913,Beyer,,,Natural Resources,
914,Beyer,,,"Science, Space, and Technology",
915,Beyer,,,Joint Economic Committee,
916,Biggs,,,Judiciary,
917,Biggs,,,"Science, Space, and Technology",
918,Bilirakis,,,Veterans' Affairs,vice chair
919,Bilirakis,,,Energy and Commerce,
920,Bishop,Mike,Michigan,Ways and Means,
921,Bishop,Rob,Utah,Natural Resources,chair
922,Bishop,Rob,Utah,Armed Services,vice chair
923,Bishop,Sanford D Jr,Georgia,Appropriations,
924,Black,,,Budget,
925,Black,,,Ways and Means,
926,Blackburn,,,Energy and Commerce,
927,Blum,,,Oversight and Government Reform,
928,Blum,,,Small Business,
929,Blumenauer,,,Ways and Means,
930,Blunt Rochester,,,Agriculture,
931,Blunt Rochester,,,Education and the Workforce,
932,Bonamici,,,Education and the Workforce,
933,Bonamici,,,"Science, Space, and Technology",
934,Bordallo,,,Armed Services,vice chair
935,Bordallo,,,Natural Resources,
936,Bost,,,Agriculture,
937,Bost,,,Transportation and Infrastructure,
938,Bost,,,Veterans' Affairs,
939,Boyle,Brendan F,Pennsylvania,Budget,
940,Boyle,Brendan F,Pennsylvania,Foreign Affairs,
941,Brady,Kevin,Texas,Ways and Means,chair
942,Brady,Kevin,Texas,Joint Committee on Taxation,vice chair
943,Brady,Robert A,Pennsylvania,Armed Services,vice chair
944,Brady,Robert A,Pennsylvania,House Administration,
945,Brady,Robert A,Pennsylvania,Joint Committee on the Library,
946,Brady,Robert A,Pennsylvania,Joint Committee on Printing,
947,Brat,,,Budget,
948,Brat,,,Education and the Workforce,
949,Brat,,,Small Business,
950,Brooks,Mo,Alabama,Armed Services,vice chair
951,Brooks,Mo,Alabama,Foreign Affairs,
952,Brooks,Mo,Alabama,"Science, Space, and Technology",
953,Brooks,Susan W,Indiana,Ethics,chair
954,Brooks,Susan W,Indiana,Energy and Commerce,
955,Brown,Anthony G ,Maryland,Armed Services,vice chair
956,Brown,Anthony G ,Maryland,Ethics,
957,Brown,Anthony G ,Maryland,Natural Resources,
958,Brownley,Julia,California,Transportation and Infrastructure,
959,Brownley,Julia,California,Veterans' Affairs,
960,Buchanan,,,Ways and Means,
961,Buck,,,Judiciary,
962,Buck,,,Rules,
963,Bucshon,,,Energy and Commerce,
964,Budd,,,Financial Services,vice chair
965,Burgess,,,Energy and Commerce,
966,Burgess,,,Rules,
967,Bustos,,,Agriculture,
968,Bustos,,,Transportation and Infrastructure,
969,Butterfield,,,Energy and Commerce,
970,Byrne,,,Armed Services,vice chair
971,Byrne,,,Education and the Workforce,
972,Byrne,,,Rules,
973,Calvert,,,Appropriations,
974,Capuano,,,Financial Services,vice chair
975,Capuano,,,Transportation and Infrastructure,
976,Carbajal,,,Armed Services,vice chair
977,Carbajal,,,Budget,
978,Cardenas,,,Energy and Commerce,
979,Carson,Andre,Indiana,Transportation and Infrastructure,
980,Carson,Andre,Indiana,Permanent Select Committee onIntelligence,
981,Carter,Earl L,Georgia,Energy and Commerce,
982,Carter,John R,Texas,Appropriations,
983,Cartwright,,,Appropriations,
984,Cartwright,,,Oversight and Government Reform,
985,Castor,Kathy,Florida,Energy and Commerce,
986,Castro,Joaquin,Texas,Foreign Affairs,
987,Castro,Joaquin,Texas,Permanent Select Committee onIntelligence,
988,Chabot,,,Small Business,chair
989,Chabot,,,Foreign Affairs,
990,Chabot,,,Judiciary,
991,Cheney,,,Armed Services,vice chair
992,Cheney,,,Natural Resources,
993,Cheney,,,Rules,
994,Chu,Judy,California,Small Business,
995,Chu,Judy,California,Ways and Means,
996,Cicilline,,,Foreign Affairs,
997,Cicilline,,,Judiciary,
998,Clark,Katherine M,Massachusetts,Appropriations,
999,Clarke,Yvette D,New York,Energy and Commerce,
1000,Clarke,Yvette D,New York,Ethics,
1001,Clarke,Yvette D,New York,Small Business,
1002,Clay,,,Financial Services,vice chair
1003,Clay,,,Natural Resources,
1004,Clay,,,Oversight and Government Reform,
1005,Cloud,,,Oversight and Government Reform,
1006,Cloud,,,"Science, Space, and Technology",
1007,Cleaver,,,Financial Services,vice chair
1008,Clyburn,,,Assistant Democratic Leader,
1009,Coffman,,,Armed Services,vice chair
1010,Coffman,,,Veterans' Affairs,
1011,Cohen,,,Ethics,
1012,Cohen,,,Judiciary,
1013,Cohen,,,Transportation and Infrastructure,
1014,Cole,,,Appropriations,
1015,Cole,,,Budget,
1016,Cole,,,Rules,
1017,Collins,Chris,New York,Energy and Commerce,
1018,Collins,Doug,Georgia,Judiciary,
1019,Collins,Doug,Georgia,Rules,
1020,Comer,,,Agriculture,
1021,Comer,,,Oversight and Government Reform,
1022,Comer,,,Small Business,
1023,Comstock,,,House Administration,
1024,Comstock,,,"Science, Space, and Technology",
1025,Comstock,,,Transportation and Infrastructure,
1026,Comstock,,,Joint Economic Committee,
1027,Conaway,,,Agriculture,chair
1028,Conaway,,,Armed Services,vice chair
1029,Conaway,,,Permanent Select Committee onIntelligence,
1030,Connolly,,,Foreign Affairs,
1031,Connolly,,,Oversight and Government Reform,
1032,Cook,,,Armed Services,vice chair
1033,Cook,,,Foreign Affairs,
1034,Cook,,,Natural Resources,
1035,Cooper,,,Armed Services,vice chair
1036,Cooper,,,Oversight and Government Reform,
1037,Correa,,,Homeland Security,
1038,Correa,,,Veterans' Affairs,
1039,Costa,,,Agriculture,
1040,Costa,,,Natural Resources,
1041,Costello,Ryan A,Pennsylvania,Energy and Commerce,
1042,Courtney,,,Armed Services,vice chair
1043,Courtney,,,Education and the Workforce,
1044,Cramer,,,Energy and Commerce,
1045,Crawford,,,Agriculture,
1046,Crawford,,,Transportation and Infrastructure,
1047,Crawford,,,Permanent Select Committee onIntelligence,
1048,Crist,,,Financial Services,vice chair
1049,Crist,,,"Science, Space, and Technology",
1050,Crowley,,,Ways and Means,
1051,Cuellar,,,Appropriations,
1052,Culberson,,,Appropriations,
1053,Cummings,,,Oversight and Government Reform,
1054,Cummings,,,Transportation and Infrastructure,
1055,Curbelo,Carlos,Florida,Ways and Means,
1056,Curtis,,,Foreign Affairs,
1057,Curtis,,,Natural Resources,
1058,Curtis,,,Small Business,
1059,Davidson,,,Financial Services,vice chair
1060,Davis,Danny K,Illinois,Ways and Means,
1061,Davis,Rodney,Illinois,Agriculture,
1062,Davis,Rodney,Illinois,House Administration,
1063,Davis,Rodney,Illinois,Transportation and Infrastructure,
1064,Davis,Rodney,Illinois,Joint Committee on Printing,vice chair
1065,Davis,Susan A,California,Armed Services,vice chair
1066,Davis,Susan A,California,Education and the Workforce,
1067,DeFazio,,,Transportation and Infrastructure,
1068,DeGette,,,Energy and Commerce,
1069,Delaney,,,Financial Services,vice chair
1070,Delaney,,,Joint Economic Committee,
1071,DeLauro,,,Appropriations,
1072,DelBene,,,Budget,
1073,DelBene,,,Ways and Means,
1074,Demings,,,Homeland Security,
1075,Demings,,,Judiciary,
1076,Denham,,,Agriculture,
1077,Denham,,,Natural Resources,
1078,Denham,,,Transportation and Infrastructure,
1079,DeSantis,,,Foreign Affairs,
1080,DeSantis,,,Judiciary,
1081,DeSantis,,,Oversight and Government Reform,
1082,DeSaulnier,,,Education and the Workforce,
1083,DeSaulnier,,,Oversight and Government Reform,
1084,DeSaulnier,,,Transportation and Infrastructure,
1085,DesJarlais,,,Agriculture,
1086,DesJarlais,,,Armed Services,vice chair
1087,DesJarlais,,,Oversight and Government Reform,
1088,Deutch,,,Ethics,
1089,Deutch,,,Foreign Affairs,
1090,Deutch,,,Judiciary,
1091,Diaz-Balart,,,Appropriations,
1092,Diaz-Balart,,,Budget,
1093,Dingell,,,Energy and Commerce,
1094,Doggett,,,Ways and Means,
1095,Donovan,,,Foreign Affairs,
1096,Donovan,,,Homeland Security,
1097,Doyle,Michael F,Pennsylvania,Energy and Commerce,
1098,Duffy,,,Financial Services,vice chair
1099,Duncan,Jeff,South Carolina,Energy and Commerce,
1100,Duncan,John J Jr,Tennessee,Oversight and Government Reform,
1101,Duncan,John J Jr,Tennessee,Transportation and Infrastructure,
1102,Dunn,,,Agriculture,
1103,Dunn,,,"Science, Space, and Technology",
1104,Dunn,,,Veterans' Affairs,
1105,Ellison,,,Financial Services,vice chair
1106,Emmer,,,Financial Services,vice chair
1107,Engel,,,Energy and Commerce,
1108,Engel,,,Foreign Affairs,
1109,Eshoo,,,Energy and Commerce,
1110,Espaillat,,,Education and the Workforce,
1111,Espaillat,,,Foreign Affairs,
1112,Espaillat,,,Small Business,
1113,Estes,Ron,Kansas,Education and the Workforce,
1114,Estes,Ron,Kansas,Homeland Security,
1115,Esty,Elizabeth H,Connecticut,"Science, Space, and Technology",
1116,Esty,Elizabeth H,Connecticut,Transportation and Infrastructure,
1117,Esty,Elizabeth H,Connecticut,Veterans' Affairs,
1118,Evans,,,Agriculture,
1119,Evans,,,Small Business,
1120,Faso,,,Agriculture,
1121,Faso,,,Budget,
1122,Faso,,,Transportation and Infrastructure,
1123,Ferguson,,,Budget,
1124,Ferguson,,,Education and the Workforce,
1125,Ferguson,,,Transportation and Infrastructure,
1126,Fitzpatrick,,,Foreign Affairs,
1127,Fitzpatrick,,,Homeland Security,
1128,Fitzpatrick,,,Small Business,
1129,Fleischmann,,,Appropriations,
1130,Flores,,,Energy and Commerce,
1131,Fortenberry,,,Appropriations,
1132,Foster,,,Financial Services,vice chair
1133,Foster,,,"Science, Space, and Technology",
1134,Foxx,,,Education and the Workforce,chair
1135,Foxx,,,Oversight and Government Reform,
1136,Frankel,Lois,Florida,Foreign Affairs,
1137,Frankel,Lois,Florida,Transportation and Infrastructure,
1138,Frelinghuysen,,,Appropriations,chair
1139,Fudge,,,Agriculture,
1140,Fudge,,,Education and the Workforce,
1141,Gabbard,,,Armed Services,vice chair
1142,Gabbard,,,Foreign Affairs,
1143,Gaetz,,,Armed Services,vice chair
1144,Gaetz,,,Budget,
1145,Gaetz,,,Judiciary,
1146,Gallagher,,,Armed Services,vice chair
1147,Gallagher,,,Homeland Security,
1148,Gallagher,,,Transportation and Infrastructure,
1149,Gallego,,,Armed Services,vice chair
1150,Gallego,,,Natural Resources,
1151,Garamendi,,,Armed Services,vice chair
1152,Garamendi,,,Transportation and Infrastructure,
1153,Garrett,,,Education and the Workforce,
1154,Garrett,,,Foreign Affairs,
1155,Garrett,,,Homeland Security,
1156,Gianforte,,,Natural Resources,
1157,Gianforte,,,Oversight and Government Reform,
1158,Gibbs,,,Agriculture,
1159,Gibbs,,,Transportation and Infrastructure,
1160,Gohmert,,,Judiciary,
1161,Gohmert,,,Natural Resources,
1162,Gomez,,,Natural Resources,
1163,Gomez,,,Oversight and Government Reform,
1164,Gonzalez,Vicente,Texas,Financial Services,vice chair
1165,Gonzalez-Colon,Jenniffer,Puerto Rico,Natural Resources,
1166,Gonzalez-Colon,Jenniffer,Puerto Rico,Small Business,
1167,Gonzalez-Colon,Jenniffer,Puerto Rico,Veterans' Affairs,
1168,Goodlatte,,,Judiciary,chair
1169,Goodlatte,,,Agriculture,
1170,Gosar,,,Natural Resources,
1171,Gosar,,,Oversight and Government Reform,
1172,Gottheimer,,,Financial Services,vice chair
1173,Gowdy,,,"Oversight and Government Reform,chair",chair
1174,Gowdy,,,Judiciary,
1175,Gowdy,,,Permanent Select Committee onIntelligence,
1176,Granger,,,Appropriations,
1177,Graves,Garret,Louisiana,Natural Resources,
1178,Graves,Garret,Louisiana,Transportation and Infrastructure,
1179,Graves,Sam,Missouri,Armed Services,vice chair
1180,Graves,Sam,Missouri,Transportation and Infrastructure,
1181,Graves,Tom,Georgia,Appropriations,
1182,Green,Al,Texas,Financial Services,vice chair
1183,Green,Gene,Texas,Energy and Commerce,
1184,Griffith,,,Energy and Commerce,
1185,Grijalva,,,Education and the Workforce,
1186,Grijalva,,,Natural Resources,
1187,Grothman,,,Budget,
1188,Grothman,,,Education and the Workforce,
1189,Grothman,,,Oversight and Government Reform,
1190,Guthrie,,,Education and the Workforce,
1191,Guthrie,,,Energy and Commerce,
1192,Gutierrez,,,Judiciary,
1193,Hanabusa,,,Armed Services,vice chair
1194,Hanabusa,,,Natural Resources,
1195,Hanabusa,,,"Science, Space, and Technology",
1196,Handel,,,Education and the Workforce,
1197,Handel,,,Judiciary,
1198,Handel,,,Joint Economic Committee,
1199,Harper,,,House Administration,chair
1200,Harper,,,"Joint Committee on the Library,chair",chair
1201,Harper,,,Energy and Commerce,
1202,Harper,,,Joint Committee on Printing,
1203,Harris,,,Appropriations,
1204,Hartzler,,,Agriculture,
1205,Hartzler,,,Armed Services,vice chair
1206,Hastings,,,Rules,
1207,Heck,,,Financial Services,vice chair
1208,Heck,,,Permanent Select Committee onIntelligence,
1209,Hensarling,,,"Financial Services, chair",vice chair
1210,Herrera Beutler,,,Appropriations,
1211,Hice,Jody B,Georgia,Armed Services,vice chair
1212,Hice,Jody B,Georgia,Natural Resources,
1213,Hice,Jody B,Georgia,Oversight and Government Reform,
1214,Higgins,Brian,New York,Budget,
1215,Higgins,Brian,New York,Ways and Means,
1216,Higgins,Clay,Louisiana,Homeland Security,
1217,Higgins,Clay,Louisiana,"Science, Space, and Technology",
1218,Higgins,Clay,Louisiana,Veterans' Affairs,
1219,Hill,,,Financial Services,vice chair
1220,Himes,,,Financial Services,vice chair
1221,Himes,,,Permanent Select Committee onIntelligence,
1222,Holding,,,Ways and Means,
1223,Hollingsworth,,,Financial Services,vice chair
1224,Hoyer,,,Democratic Whip,
1225,Hudson,,,Energy and Commerce,
1226,Huffman,,,Natural Resources,
1227,Huffman,,,Transportation and Infrastructure,
1228,Huizenga,,,Financial Services,vice chair
1229,Hultgren,,,Financial Services,vice chair
1230,Hultgren,,,"Science, Space, and Technology",
1231,Hunter,,,Armed Services,vice chair
1232,Hunter,,,Education and the Workforce,
1233,Hunter,,,Transportation and Infrastructure,
1234,Hurd,,,Homeland Security,
1235,Hurd,,,Oversight and Government Reform,
1236,Hurd,,,Permanent Select Committee onIntelligence,
1237,Issa,,,Foreign Affairs,
1238,Issa,,,Judiciary,
1239,Issa,,,Oversight and Government Reform,
1240,Jackson Lee,,,Budget,
1241,Jackson Lee,,,Homeland Security,
1242,Jackson Lee,,,Judiciary,
1243,Jayapal,,,Budget,
1244,Jayapal,,,Judiciary,
1245,Jeffries,,,Budget,
1246,Jeffries,,,Judiciary,
1247,Jenkins,Evan H,West Virginia,Appropriations,
1248,Jenkins,Lynn,Kansas,Ways and Means,
1249,Johnson,Bill,Ohio,Budget,
1250,Johnson,Bill,Ohio,Energy and Commerce,
1251,Johnson,Eddie Bernice,Texas,"Science, Space, and Technology",
1252,Johnson,Eddie Bernice,Texas,Transportation and Infrastructure,
1253,Johnson,Henry C,Georgia,Judiciary,
1254,Johnson,Henry C,Georgia,Transportation and Infrastructure,
1255,Johnson,Mike,Louisiana,Judiciary,
1256,Johnson,Mike,Louisiana,Natural Resources,
1257,Johnson,Sam,Texas,Ways and Means,
1258,Johnson,Sam,Texas,Joint Committee on Taxation,
1259,Jones,,,Armed Services,vice chair
1260,Jordan,,,Judiciary,
1261,Jordan,,,Oversight and Government Reform,
1262,Joyce,David P,Ohio,Appropriations,
1263,Kaptur,,,Appropriations,
1264,Katko,,,Homeland Security,
1265,Katko,,,Transportation and Infrastructure,
1266,Keating,,,Foreign Affairs,
1267,Keating,,,Homeland Security,
1268,Kelly,Mike,Pennsylvania,Ways and Means,
1269,Kelly,Robin L,Illinois,Foreign Affairs,
1270,Kelly,Robin L,Illinois,Oversight and Government Reform,
1271,Kelly,Trent,Mississippi,Agriculture,
1272,Kelly,Trent,Mississippi,Armed Services,vice chair
1273,Kelly,Trent,Mississippi,Small Business,
1274,Kennedy,,,Energy and Commerce,
1275,Khanna,,,Armed Services,vice chair
1276,Khanna,,,Budget,
1277,Kihuen,,,Financial Services,vice chair
1278,Kildee,,,Financial Services,vice chair
1279,Kilmer,,,Appropriations,
1280,Kind,,,Ways and Means,
1281,King,Peter T,New York,Financial Services,vice chair
1282,King,Peter T,New York,Homeland Security,
1283,King,Peter T,New York,Permanent Select Committee onIntelligence,
1284,King,Steve,Iowa,Agriculture,
1285,King,Steve,Iowa,Judiciary,
1286,King,Steve,Iowa,Small Business,
1287,Kinzinger,,,Energy and Commerce,
1288,Kinzinger,,,Foreign Affairs,
1289,Knight,,,Armed Services,vice chair
1290,Knight,,,"Science, Space, and Technology",
1291,Knight,,,Small Business,
1292,Krishnamoorthi,,,Education and the Workforce,
1293,Krishnamoorthi,,,Oversight and Government Reform,
1294,Kuster,,,Agriculture,
1295,Kuster,,,Veterans' Affairs,
1296,Kustoff,,,Financial Services,vice chair
1297,Labrador,,,Judiciary,
1298,Labrador,,,Natural Resources,
1299,LaHood,,,Ways and Means,
1300,LaHood,,,Joint Economic Committee,
1301,LaMalfa,,,Agriculture,
1302,LaMalfa,,,Natural Resources,
1303,LaMalfa,,,Transportation and Infrastructure,
1304,Lamb,,,"Science, Space, and Technology",
1305,Lamb,,,Veterans' Affairs,
1306,Lamborn,,,Armed Services,vice chair
1307,Lamborn,,,Natural Resources,
1308,Lance,,,Energy and Commerce,
1309,Lance,,,Ethics,
1310,Langevin,,,Armed Services,vice chair
1311,Langevin,,,Homeland Security,
1312,Larsen,Rick,Washington,Armed Services,vice chair
1313,Larsen,Rick,Washington,Transportation and Infrastructure,
1314,Larson,John B,Connecticut,Ways and Means,
1315,Latta,,,Energy and Commerce,
1316,Lawrence,,,Oversight and Government Reform,
1317,Lawrence,,,Transportation and Infrastructure,
1318,Lawson,Al,Florida,Agriculture,
1319,Lawson,Al,Florida,Small Business,
1320,Lee,,,Appropriations,
1321,Lee,,,Budget,
1322,Lesko,,,Homeland Security,
1323,Lesko,,,"Science, Space, and Technology",
1324,Levin,,,Ways and Means,
1325,Lewis,Jason,Minnesota,Budget,
1326,Lewis,Jason,Minnesota,Education and the Workforce,
1327,Lewis,Jason,Minnesota,Transportation and Infrastructure,
1328,Lewis,John,Georgia,Ways and Means,
